"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl","lon","lat"
"EricVikingar","",2496,424,833,1674,NA,"ANONYMOUS BOSCH",2016-08-11 18:21:23,FALSE,FALSE,"EricVikingar","Valhalla","en","763802507021684737",6,FALSE,"http://pbs.twimg.com/profile_images/804722808559255552/VX2Tnc5w_normal.jpg",-73.7751326,41.0748188
"ArgerKc","Greek American! Greek OrthodoxÌ†ΩÌ≤íANTI-FEMINIST, Dog Trainer, Proud CHEVY Truck Owner. ANTI-PC Working hard to fight the hoaxing Media! RN Ì†ΩÌ≤äÌ†ΩÌ≤â
Go SeaHawks! MAGA",3860,1221,7303,1276,NA,"IdontNeedFeminismÌ†ΩÌ≤ô",2011-12-13 18:36:40,FALSE,FALSE,"ArgerKc","United States","en","436045893",14,FALSE,"http://pbs.twimg.com/profile_images/802813096427278336/PWW4CgmE_normal.jpg",-95.712891,37.09024
"4b337241a316433","fan of many things.classic hard rock and metal,nba basketball,#go blazers rip city baby! just to name a few don't wanna give away everything! #TRUMP #MAGA",6584,487,7335,601,NA,"Dave O",2015-05-03 17:58:53,FALSE,FALSE,"4b337241a316433","Portland, OR","en","3184384026",17,FALSE,"http://pbs.twimg.com/profile_images/746092510200500224/F4lWTbSd_normal.jpg",-122.6764816,45.5230622
"kjTay1","I'm a Writer, contractor and just a guy who's looking around at the world I'm living in and am not pleased at the direction it's headed.",880,515,586,1059,NA,"Kevin J. Taylor",2016-07-28 14:48:20,FALSE,FALSE,"kjTay1","Toronto On. Canada","en","758675463787122688",3,FALSE,"http://pbs.twimg.com/profile_images/767121108705443840/2SgZL8lf_normal.jpg",-79.3831843,43.653226
"Boazziz","If you don‚Äôt have time to do it right, when will you have time to do it over?  Ô∏ª‚ï¶‚ï§‚îÄ ŒúŒüŒõŒ©Œù ŒõŒëŒíŒï",293870,20619,259,14315,NA,"Ì†ΩÌ∞∏Ô¨±◊ï◊¢◊ñ◊ô◊ñ",2011-04-05 14:08:17,FALSE,FALSE,"Boazziz","","en","277501298",608,FALSE,"http://pbs.twimg.com/profile_images/804054465175293952/6LzOV6mx_normal.jpg",NA,NA
"wyatt_bears","Canadian but libertarian. Korean, but they told me to say I'm from the South. #canadiansfortrump. #nevertrudeau. #boycottpepsi. #boycottantitrumpers #wexit",2466,301,2573,568,NA,"Western Repub. of CA",2016-11-09 19:07:13,FALSE,FALSE,"wyatt_bears","pseudo-socialist canada","en","796428950268309504",10,FALSE,"http://pbs.twimg.com/profile_images/797287471830552576/9HZzdiY0_normal.jpg",NA,NA
"jennybegood0202","Swiss #Greece #Trump2016 #MAGA #TrumpPence #VETS #2A #Bluelivesmatter #Israel Unfollow=Unfollow  NO LISTS",38012,3146,16735,2942,"https://t.co/xz4xyn4ofW","Ì†ºÌæÑ‚òÉJenny Begood‚õÑÌ†ºÌæÑ",2015-04-21 10:36:34,FALSE,FALSE,"jennybegood0202","","de","3190229619",77,FALSE,"http://pbs.twimg.com/profile_images/800383581193433093/HxoI9vr5_normal.jpg",NA,NA
"ita1ia","Sailor of seas, explorer of worlds, appreciator of arts, lover of life, doer of good, seeker of new life. Boldly going where no man has gone before.  Go #Trump!",5727,176,5141,143,NA,"Christopher Columbus",2016-07-31 05:39:10,FALSE,FALSE,"ita1ia","","en","759624423066316800",21,FALSE,"http://pbs.twimg.com/profile_images/804522553029038082/l1Bzsy5L_normal.jpg",NA,NA
"r0ma_invicta","",52591,650,20641,319,NA,"@rch0n",2016-08-31 08:45:55,FALSE,FALSE,"r0ma_invicta","","en","770905444797804544",0,FALSE,"http://pbs.twimg.com/profile_images/804751392963526656/gn-vfu31_normal.jpg",NA,NA
"gretel_andersen","I join those who want the world free from cruelty and oppression of islam. I love my family, friends and country.  No list adds please.",31624,852,26350,355,NA,"gretel andersen",2016-05-11 04:14:50,FALSE,FALSE,"gretel_andersen","","en","730249781860147200",63,FALSE,"http://pbs.twimg.com/profile_images/758713990977511425/Vl9NTnhg_normal.jpg",NA,NA
"Irishgir70","Fully-educated Trump supporter. Wife, Mom, love my Jesus & freedom. Anti- left wing BS & media shills",8622,508,30181,855,NA,"Colleen Lindsey",2009-06-04 19:32:03,FALSE,FALSE,"Irishgir70","","en","44697368",23,FALSE,"http://pbs.twimg.com/profile_images/770373940325806080/z-abriGq_normal.jpg",NA,NA
"SmurfBoobs","",40526,13283,36871,4930,NA,"FitAussie‚Ñ¢",2009-08-19 11:46:30,FALSE,FALSE,"SmurfBoobs","Earth","en","66978366",192,FALSE,"http://pbs.twimg.com/profile_images/804837105754963968/rtJ9qokO_normal.jpg",-102.4107493,34.2331373
"GnadeGary","Republican....Army Veteran....",17196,1266,12194,2316,NA,"Gary Lee Gnade",2016-07-26 18:26:19,FALSE,FALSE,"GnadeGary","Iowa","en","758005542501556224",57,FALSE,"http://pbs.twimg.com/profile_images/796632387752857600/dAYQnGIp_normal.jpg",-93.097702,41.8780025
"SavagePunch","Author, Real Estate Agent, Digital Marketer, Web Developer, Landscape Designer, Fine Gardener, MTG Writer, Kitchen Ninja",8907,237,957,503,NA,"Savage Punch",2009-06-22 03:36:38,FALSE,FALSE,"SavagePunch","Los Angeles, CA","en","49524978",94,FALSE,"http://pbs.twimg.com/profile_images/574775800001470465/wD78nHZX_normal.jpeg",-118.2436849,34.0522342
"worldvoyeures","Watching winds of change around world from Ausralia. Wide-eyed .Ex- muslims opened my eyes to evil truth of Islam. Christ is our Saviour. RT=FYI.Fav= Yes!",28378,806,18119,868,NA,"cilak",2014-07-03 14:11:55,FALSE,FALSE,"worldvoyeures","","en","2601713766",49,FALSE,"http://pbs.twimg.com/profile_images/736870389712707585/8t4ro6l__normal.jpg",NA,NA
"jimd22551","Conservative, author of the Conservatarian Solution .... My only agenda is individual freedom, small gov't, & a robust economy #TGDN",1935,1364,10790,3187,"http://t.co/ZeGX1w6l9f","Jim DeBellis",2009-02-18 20:33:43,FALSE,FALSE,"jimd22551","Minnesota","en","21237646",22,FALSE,"http://pbs.twimg.com/profile_images/2566597183/52e7zf97fyv9viqppmv8_normal.jpeg",-94.6858998,46.729553
"dancingladybug6","",14762,332,10491,534,NA,"Ladybug",2015-11-05 09:15:08,FALSE,FALSE,"dancingladybug6","","en","4118367382",83,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_3_normal.png",NA,NA
"1_scorpio","God, Family, Country , Liberty & Freedom for all US American citizens!!! A steel-man, artist, business owner, animal lover, most of all an American,. Go Trump!",691,180,605,506,NA,"Michael Fisher",2010-04-22 18:17:27,FALSE,FALSE,"1_scorpio","California, USA","en","135980912",4,FALSE,"http://pbs.twimg.com/profile_images/799783932971532288/l_VNPKQr_normal.jpg",-119.4179324,36.778261
"KeiReverence","Kei means ReverenceÌ†ΩÌ∏ÜJapanese American Woman
PA, USA xDem #MAGA #2A #1A #CCOT #LittleLivesMatter #VoteTrump #WakeUpAmerica #BlueLivesMatter",786,488,1663,861,NA,"Mrs Kei Reverence",2016-11-18 06:57:23,FALSE,FALSE,"KeiReverence","Pennsylvania, USA","en","799506771068993536",12,FALSE,"http://pbs.twimg.com/profile_images/802748981071716352/f6Dc1n9__normal.jpg",-77.1945247,41.2033216
"lionking_007","Enjoy the simple pleasures in life: smile more, love more and dream more #GoPatriots #Pats #GoArmy #MAGA #PatriotsUnited #GodBlessAmerica #PresidentTrump Ì†ºÌ∑∫Ì†ºÌ∑∏",852,254,339,917,NA,"Lion King007 Ì†ºÌ∑∫Ì†ºÌ∑∏",2016-11-03 07:22:58,FALSE,FALSE,"lionking_007","Sarasota, FL","en","794077393166225408",16,FALSE,"http://pbs.twimg.com/profile_images/798328379263057920/GWpPCN3Z_normal.jpg",-82.5306527,27.3364347
"lenorapal","I am a Houston based artist who paints in pieces check out my website with my painted mosaics! I love graffiti!",4868,56,190,148,"https://t.co/McXoLAw0MC","LP",2010-09-18 17:54:21,FALSE,FALSE,"lenorapal","houston","en","192281478",7,FALSE,"http://pbs.twimg.com/profile_images/784955261681229826/FKpCUS_Q_normal.jpg",-95.3698028,29.7604267
"AlturasArts2014","",62,6,3,52,NA,"Roman Ayllon",2014-03-05 20:00:46,FALSE,FALSE,"AlturasArts2014","","en","2374275114",0,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_1_normal.png",NA,NA
