"","lat","long","accuracy","formatted_address","address_type","status","index"
"159",32.3546679,-89.3985283,"administrative_area_level_1","Mississippi, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",158
"160",39.2903848,-76.6121893,"locality","Baltimore, MD, USA","locality,political","OK",159
"161",38.8026097,-116.419389,"administrative_area_level_1","Nevada, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",160
"162",36.778261,-119.4179324,"administrative_area_level_1","California, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",161
"163",30.9842977,-91.9623327,"administrative_area_level_1","Louisiana, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",162
"164",30.9842977,-91.9623327,"administrative_area_level_1","Louisiana, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",163
"165",38.8026097,-116.419389,"administrative_area_level_1","Nevada, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",164
"166",38.8026097,-116.419389,"administrative_area_level_1","Nevada, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",165
"167",34.0555693,-117.1825381,"locality","Redlands, CA, USA","locality,political","OK",166
"168",33.4151843,-111.8314724,"locality","Mesa, AZ, USA","locality,political","OK",167
"169",38.8026097,-116.419389,"administrative_area_level_1","Nevada, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",168
"170",33.4151843,-111.8314724,"locality","Mesa, AZ, USA","locality,political","OK",169
"171",34.0489281,-111.0937311,"administrative_area_level_1","Arizona, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",170
"172",27.6648274,-81.5157535,"administrative_area_level_1","Florida, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",171
"173",38.1539677,-121.3069787,"neighborhood","South Woodbridge, Woodbridge, CA 95258, USA","neighborhood,political","OK",172
"174",33.4483771,-112.0740373,"locality","Phoenix, AZ, USA","locality,political","OK",173
"175",45.7119271,-122.6116571,"locality","Barberton, WA, USA","locality,political","OK",174
"176",33.4151843,-111.8314724,"locality","Mesa, AZ, USA","locality,political","OK",175
"177",39.5413304,-75.1677099,"neighborhood","Olivet, Pittsgrove Township, NJ 08318, USA","neighborhood,political","OK",176
"178",33.4151843,-111.8314724,"locality","Mesa, AZ, USA","locality,political","OK",177
"179",29.887725,-95.5629984,"locality","Jersey Village, TX, USA","locality,political","OK",178
"180",41.2033216,-77.1945247,"administrative_area_level_1","Pennsylvania, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",179
"181",38.1539677,-121.3069787,"neighborhood","South Woodbridge, Woodbridge, CA 95258, USA","neighborhood,political","OK",180
"182",33.4151843,-111.8314724,"locality","Mesa, AZ, USA","locality,political","OK",181
"183",26.1224386,-80.1373174,"locality","Fort Lauderdale, FL, USA","locality,political","OK",182
"184",38.8026097,-116.419389,"administrative_area_level_1","Nevada, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",183
"185",37.4315734,-78.6568942,"administrative_area_level_1","Virginia, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",184
"186",34.0555693,-117.1825381,"locality","Redlands, CA, USA","locality,political","OK",185
"187",32.7554883,-97.3307658,"locality","Fort Worth, TX, USA","locality,political","OK",186
"188",32.1656221,-82.9000751,"administrative_area_level_1","Georgia, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",187
"189",41.5313149,-74.0241367,"locality","Balmville, NY 12550, USA","locality,political","OK",188
"190",32.5359683,-85.8932923,"locality","Tallassee, AL 36078, USA","locality,political","OK",189
"191",33.7489954,-84.3879824,"locality","Atlanta, GA, USA","locality,political","OK",190
"192",32.6400541,-117.0841955,"locality","Chula Vista, CA, USA","locality,political","OK",191
"193",32.9483335,-96.7298519,"locality","Richardson, TX, USA","locality,political","OK",192
"194",36.0971945,-115.1466648,"locality","Paradise, NV, USA","locality,political","OK",193
"195",33.0185039,-80.1756481,"locality","Summerville, SC, USA","locality,political","OK",194
"196",34.0522342,-118.2436849,"locality","Los Angeles, CA, USA","locality,political","OK",195
"197",40.6465,-111.850309,"locality","Cottonwood West, UT 84121, USA","locality,political","OK",196
"198",25.6660336,-80.357827,"locality","Kendall, FL, USA","locality,political","OK",197
"199",37.4315734,-78.6568942,"administrative_area_level_1","Virginia, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",184
"200",34.0555693,-117.1825381,"locality","Redlands, CA, USA","locality,political","OK",185
"201",32.7554883,-97.3307658,"locality","Fort Worth, TX, USA","locality,political","OK",186
"202",32.1656221,-82.9000751,"administrative_area_level_1","Georgia, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",187
"203",41.5313149,-74.0241367,"locality","Balmville, NY 12550, USA","locality,political","OK",188
"204",32.5359683,-85.8932923,"locality","Tallassee, AL 36078, USA","locality,political","OK",189
"205",33.7489954,-84.3879824,"locality","Atlanta, GA, USA","locality,political","OK",190
"206",32.6400541,-117.0841955,"locality","Chula Vista, CA, USA","locality,political","OK",191
"207",32.9483335,-96.7298519,"locality","Richardson, TX, USA","locality,political","OK",192
"208",36.0971945,-115.1466648,"locality","Paradise, NV, USA","locality,political","OK",193
"209",33.0185039,-80.1756481,"locality","Summerville, SC, USA","locality,political","OK",194
"210",34.0522342,-118.2436849,"locality","Los Angeles, CA, USA","locality,political","OK",195
"211",40.6465,-111.850309,"locality","Cottonwood West, UT 84121, USA","locality,political","OK",196
"212",25.6660336,-80.357827,"locality","Kendall, FL, USA","locality,political","OK",197
